Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_c.AVG_Signal	KHYG1_ctrl_c.Avg_NBEADS	KHYG1_ctrl_c.BEAD_STDERR	KHYG1_ctrl_c.Detection Pval
ILMN_2293902	97.94479	18	2.922299	0.5402597
ILMN_1801521	97.40607	19	2.657373	0.5948052
ILMN_2406654	107.4127	23	4.077285	0.05324675
ILMN_3246902	102.1595	25	3.209061	0.225974
ILMN_3244070	113.7908	30	3.154601	0.006493506
ILMN_1767129	97.24911	16	2.749479	0.6025974
ILMN_1746196	106.0869	20	3.69252	0.07272727
ILMN_2366473	103.4259	27	3.165408	0.1675325
ILMN_1751453	105.0723	13	4.185263	0.112987
ILMN_1772189	98.2951	27	2.782115	0.5155844
ILMN_1652959	99.90148	26	2.9901	0.3623376
ILMN_2198897	93.88116	20	2.613894	0.8857143
ILMN_1674032	164.5918	28	6.188287	0
ILMN_1737656	90.94067	21	1.617899	0.9753247
ILMN_2343917	98.60133	22	3.551349	0.4831169
ILMN_1746032	96.41969	16	2.93282	0.6818182
ILMN_1651501	106.6631	22	3.322071	0.06363636
ILMN_2330267	507.0273	23	20.90984	0
ILMN_1676846	380.1971	22	13.32992	0
ILMN_2392635	415.8146	16	12.58372	0
ILMN_1763875	1467.847	28	45.62836	0
ILMN_2284941	110.8675	17	4.424737	0.02207792
ILMN_1781999	248.7077	35	7.915268	0
ILMN_1669201	161.2559	18	7.889478	0
ILMN_1810085	106.3524	21	3.04776	0.06493507
ILMN_2262362	103.8882	9	2.770187	0.1584416
ILMN_1743638	106.3166	16	3.701712	0.06493507
ILMN_1658176	128.2599	27	4.107779	0
ILMN_2329927	94.70924	28	2.066159	0.8168831
ILMN_1794782	106.6544	30	3.171663	0.06363636
ILMN_1695968	100.5441	17	4.759399	0.3168831
ILMN_1789641	106.3566	29	2.829753	0.06493507
ILMN_1779470	109.876	33	3.345338	0.03506494
ILMN_1716592	99.13094	18	3.723168	0.4376623
ILMN_1680309	95.25547	22	2.341708	0.787013
ILMN_1743371	117.1832	16	3.539813	0.003896104
ILMN_1770031	253.4095	22	10.22965	0
ILMN_2338268	193.0892	34	5.402195	0
ILMN_1753912	100.872	15	4.09691	0.3012987
ILMN_1737475	189.2762	20	7.717941	0
ILMN_1745116	143.1525	20	6.317055	0
ILMN_2318685	132.7909	14	2.691275	0
ILMN_2245305	173.1666	18	5.356243	0
ILMN_1707925	96.26146	17	4.062655	0.6961039
ILMN_1698311	93.93993	20	1.991718	0.8818182
ILMN_2367487	97.91738	22	2.732864	0.5454546
ILMN_1785285	101.1207	19	3.144682	0.2909091
ILMN_2073969	99.43698	24	1.568792	0.4155844
ILMN_1794213	446.8058	18	19.93818	0
ILMN_2227533	158.1042	24	6.26331	0
ILMN_1769390	152.3052	22	4.304142	0
ILMN_2403446	103.6605	28	2.606582	0.1649351
ILMN_1787618	93.70988	28	2.653084	0.8948052
ILMN_1723662	118.3393	15	3.496597	0.003896104
ILMN_1801767	285.8163	32	10.63831	0
ILMN_1700633	104.1419	19	3.321711	0.1454545
ILMN_1655702	134.4525	15	3.149664	0
ILMN_1706344	204.206	13	6.672964	0
ILMN_1719498	107.2183	17	3.271159	0.05714286
ILMN_1712707	104.1208	15	5.123323	0.1454545
ILMN_1699750	105.5404	26	1.629491	0.08961039
ILMN_1739081	97.75407	24	2.320577	0.5675325
ILMN_2329958	183.8491	14	8.068059	0
ILMN_1775944	111.7348	24	3.023197	0.01558442
ILMN_1724497	242.5185	19	8.185487	0
ILMN_1720988	126.8191	25	3.173285	0
ILMN_1707274	95.43396	19	3.264545	0.7727273
ILMN_1755658	198.9272	23	5.974202	0
ILMN_1673639	96.47757	22	2.811878	0.6766234
ILMN_1713732	142.936	18	3.583533	0
ILMN_1708922	104.3881	19	2.829106	0.1350649
ILMN_2268241	103.1752	15	2.996054	0.1766234
ILMN_1741628	97.7274	31	2.051422	0.5688311
ILMN_1657870	99.34238	22	2.490234	0.4181818
ILMN_2240003	105.0758	22	3.749116	0.112987
ILMN_1785424	307.9906	22	17.70468	0
ILMN_1731610	114.7951	38	3.212391	0.006493506
ILMN_1696682	97.77619	16	2.89868	0.5649351
ILMN_2396672	167.78	29	6.742315	0
ILMN_1758825	94.7693	18	2.216158	0.8142857
ILMN_1656940	99.85824	20	4.661233	0.3727273
ILMN_1656979	98.41912	21	2.71379	0.5025974
ILMN_1731433	96.82909	14	3.362525	0.6454545
ILMN_1672878	530.3258	14	14.02877	0
ILMN_1655114	101.6008	15	4.49204	0.2649351
ILMN_1657045	95.1469	17	2.982543	0.7883117
ILMN_1766991	90.74102	21	1.875119	0.9792208
ILMN_1658083	139.7654	11	6.319017	0
ILMN_1802096	139.3673	18	2.988643	0
ILMN_2367165	101.8422	17	3.332762	0.2571429
ILMN_1753370	102.3703	17	3.942661	0.2142857
ILMN_1738921	273.1856	21	10.74784	0
ILMN_1660199	1511.204	20	45.7891	0
ILMN_2331636	250.2242	28	7.767092	0
ILMN_1772123	218.7244	25	5.43986	0
ILMN_1667641	95.10094	25	2.208276	0.7922078
ILMN_1763852	104.8822	22	2.157207	0.1207792
ILMN_1687303	127.0838	25	4.012234	0
ILMN_1761058	139.4175	15	6.306424	0
ILMN_2225595	177.3962	31	7.127944	0
ILMN_1724699	113.5578	20	4.095147	0.006493506
ILMN_1775579	389.0098	20	13.69847	0
ILMN_1660890	101.8705	26	3.420723	0.2545455
ILMN_1778104	460.389	24	29.70423	0
ILMN_2053679	726.3956	27	26.52905	0
ILMN_1795104	111.8577	21	3.571881	0.01558442
ILMN_1740920	102.4661	20	2.562941	0.2090909
ILMN_2263466	125.1229	13	4.697116	0
ILMN_1806408	1159.182	22	39.24074	0
ILMN_2352009	294.9163	18	14.38644	0
ILMN_1693148	91.78197	23	3.122647	0.9597403
ILMN_1808395	395.7862	27	10.47708	0
ILMN_3236270	126.5293	21	3.863154	0
ILMN_1743847	99.89462	18	2.673484	0.3623376
ILMN_1800008	1152.576	20	55.33582	0
ILMN_2133799	115.8867	15	4.659523	0.003896104
ILMN_1708672	1300.893	13	102.6135	0
ILMN_1665945	292.1019	18	15.36043	0
ILMN_1676288	108.3206	19	3.595527	0.04415584
ILMN_1693250	109.2479	14	3.60742	0.03766234
ILMN_2295980	96.76568	27	1.646371	0.651948
ILMN_2410362	107.1501	22	3.521521	0.05714286
ILMN_1684271	247.1237	25	10.72381	0
ILMN_1726388	106.0984	19	4.213807	0.07272727
ILMN_2106002	99.94618	25	3.595885	0.3584416
ILMN_1779685	94.98269	30	2.250295	0.7987013
ILMN_1665932	98.04776	31	2.02385	0.5350649
ILMN_1769694	93.73588	14	4.638128	0.8935065
ILMN_1727251	102.6727	40	2.733458	0.2012987
ILMN_1734479	111.9094	33	3.02746	0.01558442
ILMN_2368728	97.77974	26	2.84025	0.5649351
ILMN_2394897	98.79623	24	2.851436	0.4597403
ILMN_2394902	100.8561	12	2.951029	0.3012987
ILMN_2287535	96.70425	22	2.261739	0.6571429
ILMN_1750295	102.9851	22	2.45127	0.187013
ILMN_3187680	120.3257	22	3.155383	0.002597403
ILMN_3242266	98.32668	21	1.471872	0.5116883
ILMN_1780630	112.3831	35	3.564163	0.01038961
ILMN_1716480	319.793	26	8.001587	0
ILMN_1715192	97.65502	24	2.017768	0.5766234
ILMN_2339410	94.48596	26	2.391677	0.8441558
ILMN_1779984	93.78496	28	2.231136	0.8922078
ILMN_1667018	100.3344	27	2.232671	0.3298701
ILMN_1773243	100.8885	21	3.240652	0.3012987
ILMN_3241214	98.96983	20	3.506719	0.4441558
ILMN_3235340	141.7482	13	2.829047	0
ILMN_1761000	95.28989	29	2.522009	0.7857143
ILMN_3237774	106.81	23	3.664902	0.05844156
ILMN_2333219	99.37537	18	2.095236	0.4181818
ILMN_1780485	100.2844	26	2.645247	0.3311688
