Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_2293902	95.70612	14	3.279655	0.5857143
ILMN_1801521	102.051	18	3.682591	0.1532468
ILMN_2406654	100.8945	22	2.778684	0.1987013
ILMN_3246902	99.83987	19	5.247406	0.2532468
ILMN_3244070	109.6702	26	3.275389	0.02207792
ILMN_1767129	97.26784	27	2.638557	0.4402598
ILMN_1746196	97.72331	5	2.463008	0.4090909
ILMN_2366473	103.6782	20	2.883583	0.1038961
ILMN_1751453	100.0068	24	2.395146	0.2467532
ILMN_1772189	92.34207	20	2.395437	0.8285714
ILMN_1652959	97.07608	16	4.337796	0.4649351
ILMN_2198897	94.468	19	3.163737	0.6818182
ILMN_1674032	151.7203	17	6.46409	0
ILMN_1737656	100.4716	23	2.211273	0.2233766
ILMN_2343917	97.79165	23	1.644719	0.4038961
ILMN_1746032	102.1366	21	3.558279	0.1480519
ILMN_1651501	99.75074	23	3.068139	0.261039
ILMN_2330267	511.1396	19	18.76669	0
ILMN_1676846	392.2114	32	9.156761	0
ILMN_2392635	394.2468	16	15.57244	0
ILMN_1763875	1207.771	27	55.82676	0
ILMN_2284941	97.78423	22	3.517706	0.4038961
ILMN_1781999	236.9	18	8.747	0
ILMN_1669201	131.938	24	5.434772	0
ILMN_1810085	102.9915	24	2.089728	0.1194805
ILMN_2262362	108.2333	13	4.977041	0.03116883
ILMN_1743638	107.2584	17	6.009538	0.04285714
ILMN_1658176	111.7458	24	2.168564	0.01298701
ILMN_2329927	91.28587	30	2.52653	0.8961039
ILMN_1794782	102.2533	24	3.518218	0.1441558
ILMN_1695968	94.45956	18	2.410902	0.6844156
ILMN_1789641	98.159	25	2.154205	0.3675325
ILMN_1779470	101.57	18	2.457648	0.1714286
ILMN_1716592	100.5535	28	2.695337	0.2181818
ILMN_1680309	97.24226	27	2.612544	0.4428571
ILMN_1743371	112.3629	21	3.541506	0.01038961
ILMN_1770031	263.8439	26	7.667439	0
ILMN_2338268	181.0706	31	6.241661	0
ILMN_1753912	95.00189	17	3.549641	0.6415585
ILMN_1737475	174.8716	25	4.736439	0
ILMN_1745116	117.1524	14	2.814079	0.001298701
