Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_a.AVG_Signal	KHYG1_si308_a.Avg_NBEADS	KHYG1_si308_a.BEAD_STDERR	KHYG1_si308_a.Detection Pval
ILMN_2293902	97.05171	15	3.510613	0.6246753
ILMN_1801521	100.5416	19	2.323985	0.3454545
ILMN_2406654	103.3183	32	2.391832	0.1714286
ILMN_3246902	95.76105	25	2.917306	0.7350649
ILMN_3244070	103.82	35	2.592334	0.1441558
ILMN_1767129	94.53511	31	2.799386	0.8311688
ILMN_1746196	107.5752	14	4.645023	0.06103896
ILMN_2366473	103.5404	15	3.23138	0.161039
ILMN_1751453	100.1223	15	3.02219	0.3753247
ILMN_1772189	94.4161	21	1.993582	0.8376623
ILMN_1652959	93.57906	24	2.941559	0.8857143
ILMN_2198897	95.98944	21	2.880404	0.7103896
ILMN_1674032	150.9	21	4.66644	0
ILMN_1737656	94.50375	14	5.076083	0.8337662
ILMN_2343917	100.5859	16	3.289504	0.338961
ILMN_1746032	97.38949	26	2.71334	0.5974026
ILMN_1651501	96.52634	23	2.500068	0.674026
ILMN_2330267	705.7422	21	26.78379	0
ILMN_1676846	517.9126	25	16.87557	0
ILMN_2392635	380.0305	16	14.6371	0
ILMN_1763875	1246.628	18	65.79762	0
ILMN_2284941	97.4074	24	2.696327	0.5961039
ILMN_1781999	257.6897	30	9.344692	0
ILMN_1669201	146.1825	19	4.997102	0
ILMN_1810085	104.1892	24	2.534421	0.1311688
ILMN_2262362	96.58472	8	5.300301	0.6714286
ILMN_1743638	103.6157	9	4.740064	0.1545455
ILMN_1658176	118.3573	21	4.250254	0.005194805
ILMN_2329927	96.95885	31	2.045172	0.6324675
ILMN_1794782	96.28479	14	3.159962	0.6974026
ILMN_1695968	98.15927	21	2.590067	0.5311688
ILMN_1789641	99.62251	23	2.178096	0.4194805
ILMN_1779470	101.3697	26	2.149161	0.2935065
ILMN_1716592	95.86214	22	2.743487	0.7272727
ILMN_1680309	97.57375	18	1.73873	0.5766234
ILMN_1743371	110.4855	17	4.686219	0.02077922
ILMN_1770031	272.7979	22	4.598342	0
ILMN_2338268	209.6018	15	10.55518	0
ILMN_1753912	104.3771	24	4.02678	0.1272727
ILMN_1737475	184.0941	25	6.47648	0
ILMN_1745116	122.1016	18	3.973205	0.002597403
ILMN_2318685	149.177	21	7.090639	0
ILMN_2245305	166.7551	30	6.313636	0
ILMN_1707925	101.8213	25	2.796105	0.2558441
ILMN_1698311	103.111	31	2.948403	0.1844156
ILMN_2367487	82.69205	13	2.274044	1
ILMN_1785285	100.1	23	2.233014	0.3792208
ILMN_2073969	97.86855	18	1.978283	0.5545455
ILMN_1794213	393.4081	25	10.35052	0
ILMN_2227533	156.1799	18	3.625535	0
ILMN_1769390	155.7878	20	6.152028	0
ILMN_2403446	111.528	34	3.332618	0.01948052
ILMN_1787618	98.41334	22	3.248819	0.5051948
ILMN_1723662	119.9776	17	5.941983	0.003896104
ILMN_1801767	296.6627	25	11.52289	0
ILMN_1700633	104.0158	25	3.551012	0.1376623
ILMN_1655702	152.4088	25	4.238723	0
ILMN_1706344	224.8584	23	6.62686	0
ILMN_1719498	103.2647	27	2.907916	0.1753247
ILMN_1712707	101.5621	25	2.742974	0.2805195
ILMN_1699750	108.2562	24	3.572157	0.04675325
ILMN_1739081	104.5683	25	2.372554	0.1220779
ILMN_2329958	230.5607	23	11.00569	0
ILMN_1775944	124.5668	17	2.327382	0.001298701
ILMN_1724497	255.5972	17	12.76313	0
ILMN_1720988	132.5182	20	4.647456	0.001298701
ILMN_1707274	93.89874	13	4.772624	0.8688312
ILMN_1755658	171.7656	22	4.815916	0
ILMN_1673639	92.90459	16	3.633234	0.9233766
ILMN_1713732	141.0819	25	4.882686	0
ILMN_1708922	101.0794	26	2.653871	0.3116883
ILMN_2268241	102.0453	27	3.258611	0.2467532
ILMN_1741628	106.7169	35	2.908473	0.06753246
ILMN_1657870	97.13233	25	2.948539	0.6155844
ILMN_2240003	98.41038	22	2.692501	0.5051948
ILMN_1785424	402.9975	18	17.72357	0
ILMN_1731610	121.4681	24	3.980684	0.002597403
ILMN_1696682	97.17361	12	3.672793	0.612987
ILMN_2396672	191.8456	15	5.448214	0
ILMN_1758825	102.4569	18	2.965996	0.2194805
ILMN_1656940	102.4485	23	3.052686	0.2207792
ILMN_1656979	100.236	28	2.723166	0.3623376
ILMN_1731433	104.3125	37	2.857368	0.1298701
ILMN_1672878	518.0635	23	22.01017	0
ILMN_1655114	101.5503	23	3.252854	0.2818182
ILMN_1657045	102.6291	20	3.281408	0.2077922
ILMN_1766991	94.94078	30	2.579727	0.7987013
ILMN_1658083	148.3465	21	6.35131	0
ILMN_1802096	159.1112	22	4.705936	0
ILMN_2367165	106.3272	19	2.552393	0.07532468
ILMN_1753370	103.504	19	2.396973	0.1636364
ILMN_1738921	249.9881	29	8.997725	0
ILMN_1660199	1243.687	18	59.83141	0
ILMN_2331636	305.2539	23	9.538356	0
ILMN_1772123	245.5931	19	10.58173	0
ILMN_1667641	94.55653	25	2.1833	0.8311688
ILMN_1763852	102.1671	26	3.076493	0.2363636
ILMN_1687303	129.8816	24	5.277023	0.001298701
ILMN_1761058	139.4417	18	4.815775	0
ILMN_2225595	190.3126	20	7.206117	0
ILMN_1724699	119.0042	16	4.532931	0.003896104
ILMN_1775579	387.6385	22	10.68521	0
