Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_1725414	103.1031	20	3.670803	0.07402597
ILMN_2293902	94.77921	23	3.389835	0.5506493
ILMN_1801521	93.79681	17	2.184951	0.6467533
ILMN_2406654	104.0683	24	3.463011	0.05844156
ILMN_3246902	98.10925	29	2.105496	0.274026
ILMN_3244070	105.3056	17	3.887854	0.04675325
ILMN_1767129	95.67295	19	1.637143	0.4792208
ILMN_1746196	96.6721	10	1.727861	0.3922078
ILMN_2366473	99.67105	20	1.897388	0.1883117
ILMN_1751453	98.05157	19	3.664404	0.2779221
ILMN_1772189	93.7314	28	2.301939	0.6506494
ILMN_1652959	95.49301	22	2.540087	0.4922078
ILMN_2198897	85.55053	21	2.789143	0.9948052
ILMN_1674032	169.0863	23	6.840143	0
ILMN_1737656	97.69428	31	2.442511	0.3051948
ILMN_2343917	91.74866	23	2.355062	0.8064935
ILMN_1746032	97.83445	20	2.803494	0.2974026
ILMN_1651501	98.0407	25	2.577123	0.2779221
ILMN_2330267	624.9308	19	28.59758	0
ILMN_1676846	407.3188	22	21.97312	0
ILMN_2392635	393.7902	29	17.96065	0
ILMN_1763875	1305.327	20	57.45341	0
ILMN_2284941	93.90662	23	1.697867	0.6311688
ILMN_1781999	241.661	24	9.739694	0
ILMN_1669201	140.22	14	4.179605	0
ILMN_1810085	103.527	17	2.520971	0.06493507
ILMN_2262362	97.35458	24	2.774048	0.3311688
ILMN_1743638	95.56784	24	2.181053	0.4883117
ILMN_1658176	119.3392	21	6.242549	0.001298701
ILMN_2329927	98.28684	17	3.549115	0.261039
ILMN_1794782	97.74652	25	2.559526	0.3025974
ILMN_1695968	102.8111	13	6.654799	0.08181818
ILMN_1789641	103.5473	25	2.722925	0.06493507
ILMN_1779470	97.95782	27	3.323416	0.2857143
ILMN_1716592	98.67475	32	1.87579	0.2415584
ILMN_1680309	100.4906	26	2.884899	0.1571429
ILMN_1743371	108.8667	14	3.247952	0.01558442
ILMN_1770031	262.6806	30	10.7875	0
ILMN_2338268	183.56	22	6.624842	0
ILMN_1753912	90.72958	23	2.217277	0.8753247
ILMN_1737475	172.1262	22	5.447755	0
