Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_b.AVG_Signal	KHYG1_ctrl_b.Avg_NBEADS	KHYG1_ctrl_b.BEAD_STDERR	KHYG1_ctrl_b.Detection Pval
ILMN_1725414	99.39342	29	2.53858	0.2311688
ILMN_2293902	91.28053	22	2.865119	0.8779221
ILMN_1801521	99.48834	21	2.843192	0.2311688
ILMN_2406654	97.81454	21	1.872647	0.3311688
ILMN_3246902	97.31039	25	1.327052	0.3662338
ILMN_3244070	103.2058	17	4.429681	0.0948052
ILMN_1767129	92.04963	27	2.143402	0.8350649
ILMN_1746196	103.3352	17	2.611188	0.09350649
ILMN_2366473	101.9057	24	2.23753	0.1246753
ILMN_1751453	94.07293	31	2.482696	0.6844156
ILMN_1772189	100.4456	20	3.110909	0.1844156
ILMN_1652959	92.05988	27	1.963107	0.8337662
ILMN_2198897	93.81308	20	1.922961	0.7103896
ILMN_1674032	153.1587	20	8.286572	0
ILMN_1737656	93.76253	20	2.769652	0.712987
ILMN_2343917	101.3865	17	2.730798	0.138961
ILMN_1746032	97.9426	24	3.684467	0.3220779
ILMN_1651501	102.3377	33	2.468067	0.1155844
ILMN_2330267	541.5428	21	24.57714	0
ILMN_1676846	398.0618	24	14.45235	0
ILMN_2392635	367.5195	17	14.55324	0
ILMN_1763875	1356.732	18	58.52043	0
ILMN_2284941	100.6673	17	3.352997	0.1714286
ILMN_1781999	229.6346	34	6.683163	0
ILMN_1669201	147.9765	28	5.180696	0
ILMN_1810085	112.2	23	2.296605	0.009090909
ILMN_2262362	100.2766	16	3.188031	0.1896104
ILMN_1743638	97.90936	12	3.39113	0.3233766
ILMN_1658176	118.8758	29	3.998384	0.001298701
ILMN_2329927	94.97874	23	2.706201	0.6038961
ILMN_1794782	99.768	27	3.588069	0.212987
ILMN_1695968	96.2564	23	2.639786	0.4714286
ILMN_1789641	107.2136	15	4.168128	0.02987013
ILMN_1779470	102.6868	25	2.902208	0.1090909
ILMN_1716592	92.75047	24	1.944536	0.7844156
ILMN_1680309	89.41836	16	2.22554	0.951948
ILMN_1743371	106.9356	24	3.481398	0.03636364
ILMN_1770031	216.7912	19	4.493376	0
ILMN_2338268	169.442	25	5.272729	0
ILMN_1753912	100.2035	23	2.813271	0.1922078
ILMN_1737475	159.8295	18	5.298398	0
ILMN_1745116	126.8848	25	4.734547	0
ILMN_2318685	133.6491	21	3.589512	0
ILMN_2245305	145.9859	21	4.723776	0
ILMN_1707925	97.75927	27	2.157603	0.3311688
ILMN_1698311	97.72587	18	2.8694	0.3324675
ILMN_2367487	89.08862	22	2.57698	0.9597403
ILMN_1785285	101.2374	22	3.744626	0.1454545
ILMN_2073969	105.4136	11	6.273716	0.04675325
ILMN_1794213	329.099	15	9.975715	0
ILMN_2227533	143.9006	27	4.330774	0
ILMN_1769390	136.5152	13	3.035035	0
ILMN_2403446	101.224	22	2.793136	0.1454545
ILMN_1787618	91.96667	21	2.292432	0.8415585
ILMN_1723662	107.0917	25	2.721136	0.02987013
ILMN_1801767	251.5258	27	8.921148	0
ILMN_1700633	97.01995	29	2.233278	0.3961039
ILMN_1655702	131.5229	23	3.61619	0
ILMN_1706344	209.2295	28	7.379152	0
ILMN_1719498	106.7319	24	2.470421	0.03636364
ILMN_1712707	97.43347	30	2.423166	0.3571429
ILMN_1699750	98.43497	36	2.274645	0.2883117
ILMN_1739081	100.7767	23	2.068297	0.1688312
ILMN_2329958	224.2713	17	10.27322	0
ILMN_1775944	109.9887	19	2.684536	0.01688312
ILMN_1724497	223.1619	12	10.62827	0
ILMN_1720988	108.2362	22	2.608171	0.02467532
ILMN_1707274	97.82951	18	2.939468	0.3298701
ILMN_1755658	165.2307	30	3.810574	0
ILMN_1673639	95.20869	22	2.526965	0.5792208
ILMN_1713732	123.3112	18	3.603271	0
ILMN_1708922	94.50033	28	1.933138	0.6454545
ILMN_2268241	95.35699	24	2.46345	0.5662338
ILMN_1741628	86.35381	22	2.09606	0.9909091
ILMN_1657870	99.54221	17	3.866303	0.2285714
ILMN_2240003	101.9219	20	4.008979	0.1246753
ILMN_1785424	277.0406	24	10.3677	0
ILMN_1731610	110.4228	24	2.061525	0.01558442
ILMN_1696682	94.67899	11	2.582392	0.6285715
ILMN_2396672	158.9557	26	6.0529	0
ILMN_1758825	94.10224	15	3.228904	0.6818182
ILMN_1656940	94.68406	32	2.693571	0.6285715
ILMN_1656979	96.147	19	2.883988	0.4857143
ILMN_1731433	100.7487	24	3.565645	0.1701299
ILMN_1672878	509.068	24	15.11481	0
ILMN_1655114	99.91596	24	2.415487	0.2064935
ILMN_1657045	90.50304	20	2.44797	0.912987
ILMN_1766991	97.9849	21	3.533992	0.3168831
ILMN_1658083	148.9201	19	4.015424	0
ILMN_1802096	149.9277	25	6.181702	0
ILMN_2367165	97.59067	18	2.547356	0.3441558
ILMN_1753370	96.05161	26	2.987168	0.4974026
ILMN_1738921	260.9771	24	10.77433	0
ILMN_1660199	1213.127	16	18.7025	0
ILMN_2331636	257.9766	26	8.199168	0
ILMN_1772123	222.621	25	5.009408	0
ILMN_1667641	91.64403	26	2.576078	0.8571429
ILMN_1763852	98.50275	22	3.52142	0.2844156
ILMN_1687303	131.0617	17	5.040382	0
ILMN_1761058	137.1471	27	4.552186	0
ILMN_2225595	173.4849	19	4.564435	0
ILMN_1724699	102.7706	14	2.803014	0.1064935
ILMN_1775579	380.5268	17	12.02089	0
ILMN_1660890	103.7437	22	3.59296	0.07792208
ILMN_1778104	475.8904	26	25.80216	0
ILMN_2053679	738.4507	20	37.14725	0
ILMN_1795104	104.5963	25	2.993743	0.05974026
ILMN_1740920	100.6021	22	4.107322	0.174026
ILMN_2263466	128.5353	16	5.886237	0
ILMN_1806408	1126.14	22	35.54882	0
ILMN_2352009	270.0786	11	16.34008	0
ILMN_1693148	90.75259	20	3.701023	0.9012987
ILMN_1808395	339.9318	25	14.10957	0
ILMN_3236270	112.4466	17	1.791925	0.007792208
ILMN_1743847	93.84888	20	2.688418	0.7064935
ILMN_1800008	1057.857	27	56.12755	0
ILMN_2133799	113.8841	22	3.661732	0.007792208
ILMN_1708672	1229.047	14	86.11493	0
ILMN_1665945	299.2719	18	12.10751	0
ILMN_1676288	106.7297	18	4.83809	0.03636364
ILMN_1693250	107.9983	8	6.897558	0.02727273
ILMN_2295980	95.79549	21	3.342508	0.5194805
ILMN_2410362	103.6712	23	2.475585	0.08051948
ILMN_1684271	208.5479	22	7.21997	0
ILMN_1726388	101.8819	23	2.83199	0.1246753
ILMN_2106002	97.4282	18	4.631167	0.3571429
ILMN_1779685	90.69846	19	2.334048	0.9025974
ILMN_1665932	91.01889	22	2.940949	0.8883117
ILMN_1769694	94.2946	17	2.26495	0.6714286
ILMN_1727251	92.82499	30	2.167778	0.7805195
ILMN_1734479	114.4019	21	6.183233	0.007792208
ILMN_2368728	92.41676	22	2.46568	0.8064935
ILMN_2394897	98.95431	19	3.526963	0.2571429
ILMN_2394902	97.53341	24	3.458271	0.3506494
ILMN_2287535	91.79025	31	2.207552	0.8532467
ILMN_1750295	95.09621	15	4.062972	0.5935065
ILMN_3187680	119.6262	27	2.816093	0
ILMN_3242266	93.80264	18	3.097691	0.7116883
ILMN_1780630	100.5053	26	3.138157	0.1818182
ILMN_1716480	324.2812	28	10.54536	0
ILMN_1715192	95.28822	27	2.088573	0.5701299
ILMN_2339410	92.03785	18	3.615451	0.8350649
ILMN_1779984	94.51614	25	2.659055	0.6454545
ILMN_1667018	97.91789	22	2.031775	0.3233766
ILMN_1773243	99.47428	28	4.175838	0.2311688
ILMN_3241214	90.13893	20	3.128156	0.9207792
ILMN_3235340	159.0818	21	9.656141	0
ILMN_1761000	99.74073	22	2.849543	0.212987
ILMN_3237774	109.5719	21	5.636826	0.01818182
ILMN_2333219	98.21545	14	5.397252	0.3012987
ILMN_1780485	107.8487	15	4.727642	0.02727273
ILMN_1735471	101.8689	26	2.659146	0.1246753
ILMN_1699636	190.3067	31	4.851366	0
ILMN_2371379	991.2091	21	34.94315	0
ILMN_1749014	513.2907	17	31.87124	0
